Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s)
2,30,522205,Via Ariosto snc  40026 Imola ( BO ),SOGEI srl,54540
2,31,522919,Via Pisacane  40026 Imola ( BO ),Decostile; In Casa RE srl; SX srl; TBR Costruzioni Generali,55929
2,32,535949,via Campanella   40026 Imola ( BO ),Studio Qualità Immobiliare srl; assegnato,57399
2,33,537161,Via Tellarini 79/3  48022 Lugo ( RA ),Ingegneria Emiliana; aggiudicato all'impresa segnalata che ha offerto il ribasso del 8%.; assegnato,59986
2,34,449737,Via dell'Agricoltura  48123 Ravenna ( RA ),Epi srl; assegnato,62588
2,35,532462,Via Narsete  48123 Ravenna ( RA ),Albero Casa srl; assegnato,63983
2,36,409306,p.le Farini 21  48121 Ravenna ( RA ),CEAR Consorzio Edili Artigiani Ravenna Soc.; Safer srl; Stylcasa srl,65493
2,37,536086,Via Antica Milizia  48121 Ravenna ( RA ),Gruppo Ritmo srl + Gruppo Ritmo srl; assegnato,67158
2,38,528228,via Cartesio  48121 Ravenna ( RA ),Snoopy Casa s.coop.rl; assegnato,68590
2,39,535928,Via Suzzi  48124 Ravenna ( RA ),CMCF Soc. Coop. Muratori Cementisti Faenza,70067
2,40,537153,Via delle Americhe  48122 Ravenna ( RA ),Gruppo Ritmo srl,72138
2,41,542609,V.le delle Americhe  48122 Ravenna ( RA ),Gruppo Ritmo srl,73338
2,42,495495,V.le Amerigo Vespucci  48125 Ravenna ( RA ),Galileo srl,75978
2,43,536083,Via Solarolo snc  48125 Ravenna ( RA ),Gruppo Ritmo srl,77327
2,44,536084,Via Lord Byron snc  48125 Ravenna ( RA ),Gruppo Ritmo srl,78646
2,45,512649,Loc. Milano Marittima  48015 Cervia ( RA ),Gruppo Ritmo srl,80379
2,46,518880,Via Saffi 110/A  47042 Cesenatico ( FC ),Ambroedil di Ambrosio Antonio; B Impianti Elettrici srls; Consorzio CAIEC soc coop arl; assegnato,82481
2,47,532124,Via Savio snc  47814 Bellaria-Igea Marina ( RN ),Pompili Daniele,84050
2,48,539779,Via Ravenna ang. Via Savio   47814 Bellaria-Igea Marina ( RN ),Moma srl,85250
2,49,534750,Via Balbi 10  47814 Bellaria-Igea Marina ( RN ),Ab Carpentier srl,86649
2,50,518049,Via Caduti per la libertà 16  47814 Bellaria-Igea Marina ( RN ),Tosi Immobiliare,88092
2,51,534558,Via G. Garibaldi snc  47814 Bellaria-Igea Marina ( RN ),Due Laghi srl,89721
2,52,532428,Via Foglino snc   47922 Rimini ( RN ),Nuova Vittoria Soc. Coop.; assegnato,91221
